City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
T,32.53,20.58,71.35,88,0,3.4,LY,1593555288
C,-24.87,113.63,57.2,100,0,10.29,AU,1593555288
H,60.82,-115.8,69.8,60,75,9.17,CA,1593555288
F,48.6,-93.4,89.01,66,20,5.82,CA,1593555288
K,-14.47,132.27,55.4,71,9,5.82,AU,1593555289
A,30.94,31.29,66.52,89,0,5.77,EG,1593555289
D,32.77,22.64,75.25,69,0,16.96,LY,1593555289
V,-21.2,-175.2,75.2,78,75,9.17,TO,1593555149
A,61.92,63.02,42.55,78,100,3.49,RU,1593555124
S,17.02,54.09,84.2,89,75,5.82,OM,1593554992
M,-9.45,-46.3,76.5,40,0,4.68,BR,1593555289
L,-37.62,-73.65,52.07,92,100,18.28,CL,1593555144
S,-20.52,57.52,64.4,93,20,6.93,MU,1593555169
H,-22.12,14.28,69.01,21,0,4.32,NA,1593555289
T,47.67,-52.73,71.6,83,90,14.99,CA,1593555289
B,41.37,-73.41,75.99,69,1,4.7,US,1593555289
M,-34.65,-59.43,48.0,95,100,11.01,AR,1593555290
Y,7.38,8.57,73.04,95,57,4.9,NG,1593555290
T,55.74,-97.86,68.0,77,75,12.75,CA,1593555215
L,61.52,30.2,57.0,81,42,13.18,RU,1593555290
P,-34.05,23.37,60.84,54,0,4.63,ZA,1593555290
L,34.64,-120.46,70.0,64,6,13.87,US,1593555067
B,-31.33,-54.11,51.8,93,90,25.28,BR,1593555290
P,36.62,-121.92,82.99,53,1,9.17,US,1593555208
U,72.79,-56.15,39.96,73,42,10.92,GL,1593555150
A,-9.8,-139.03,80.02,75,15,20.8,PF,1593555291
T,-36.72,-73.12,52.7,88,100,13.96,CL,1593555119
P,-53.15,-70.92,32.0,94,75,3.36,CL,1593555208
B,45.32,55.2,71.98,54,3,7.47,KZ,1593555292
S,57.05,-135.33,57.2,71,75,14.99,US,1593555161
W,16.15,36.2,94.17,34,85,23.38,SD,1593555292
S,13.59,102.97,75.94,92,100,7.05,KH,1593555292
K,50.04,23.8,62.6,77,38,4.47,UA,1593555292
B,-20.34,57.76,66.99,93,20,6.93,MU,1593555147
J,39.74,98.52,60.66,56,0,5.68,CN,1593555293
C,64.86,-147.8,55.99,54,75,4.7,US,1593555055
K,14.2,24.67,77.2,52,42,6.08,SD,1593555293
I,42.74,45.58,60.03,61,69,5.84,RU,1593555293
D,-16.57,-69.04,46.99,43,0,6.4,PE,1593555293
K,10.57,72.64,83.32,75,100,18.52,IN,1593555294
B,3.07,172.79,82.17,73,15,6.33,KI,1593555294
L,-2.02,147.27,83.37,70,99,5.3,PG,1593555294
S,63.73,8.83,48.2,81,75,20.8,NO,1593555294
S,-2.08,101.38,62.71,89,59,3.85,ID,1593555294
G,42.33,-83.33,89.6,48,40,8.05,US,1593555256
T,-8.76,-35.1,75.63,83,39,7.65,BR,1593555294
M,35.38,-97.72,95.0,59,20,25.28,US,1593555143
S,50.72,136.63,64.6,57,70,7.27,RU,1593555294
C,-17.71,-39.25,71.62,91,63,3.42,BR,1593555294
L,65.58,-171.0,44.64,79,100,11.25,RU,1593555294
P,11.67,92.75,82.17,81,100,14.34,IN,1593555295
E,61.95,159.23,56.86,38,0,14.25,RU,1593555295
B,-2.79,-49.67,76.89,84,93,2.48,BR,1593555295
L,49.24,135.17,65.44,85,0,2.75,RU,1593555295
U,-7.61,15.06,66.43,62,100,1.81,AO,1593555295
B,13.31,123.34,78.01,84,74,2.73,PH,1593555295
N,17.49,44.13,82.4,18,90,4.63,SA,1593555295
A,46.43,26.4,59.0,95,6,3.94,RO,1593555296
L,50.59,34.48,63.34,97,24,9.04,UA,1593555296
M,71.04,27.85,41.0,93,75,13.87,NO,1593555296
H,64.25,-15.21,43.84,78,85,5.99,IS,1593555296
M,-20.41,57.7,64.4,88,40,5.82,MU,1593555296
G,5.41,100.34,78.8,94,20,2.24,MY,1593555149
M,-21.69,165.68,66.2,72,75,3.36,NC,1593555296
B,-34.53,20.04,46.4,93,83,5.82,ZA,1593555296
T,-5.67,132.75,79.48,83,94,18.3,ID,1593555297
M,5.95,80.54,78.42,88,100,6.24,LK,1593555297
D,1.68,101.45,73.4,95,50,2.13,ID,1593555297
E,48.83,58.14,58.48,56,0,6.78,KZ,1593555297
L,49.86,26.09,59.0,88,0,6.8,UA,1593555043
K,71.97,102.5,68.68,63,13,2.01,RU,1593555297
K,52.27,79.17,65.44,72,0,7.72,RU,1593555299
S,22.57,59.53,82.89,75,0,12.26,OM,1593555299
K,11.09,-6.89,78.44,74,39,3.85,ML,1593555299
V,63.44,-20.27,48.4,78,97,5.84,IS,1593555299
P,-6.32,155.48,72.88,92,64,1.07,PG,1593555299
B,60.4,-1.35,50.0,81,98,18.34,GB,1593555299
E,4.87,-2.24,75.29,85,45,7.83,GH,1593555299
S,71.92,114.08,81.95,32,52,10.89,RU,1593555125
I,-23.78,-45.36,71.46,72,93,2.53,BR,1593555299
Y,40.28,97.2,62.89,45,0,6.91,CN,1593555300
A,-23.65,-70.4,59.0,82,20,9.17,CL,1593555253
C,-33.7,-53.46,57.24,94,100,16.26,UY,1593555300
B,-37.57,143.85,45.0,95,7,8.7,AU,1593555300
C,4.93,-52.33,82.4,78,92,5.82,GF,1593555208
V,-20.33,-40.29,70.0,88,75,2.24,BR,1593555136
A,-8.93,125.41,53.17,86,19,2.86,TL,1593555301
B,13.22,-59.52,78.8,88,75,16.11,BB,1593555301
C,38.7,-9.42,68.0,89,62,20.13,PT,1593555183
V,70.37,31.11,42.8,93,75,17.22,NO,1593555301
H,31.81,121.66,78.01,87,47,3.0,CN,1593555301
S,56.37,98.35,63.28,85,2,4.38,RU,1593555302
B,71.29,-156.79,39.2,86,90,10.29,US,1593555302
I,21.23,-86.73,87.8,70,20,10.29,MX,1593555303
P,69.7,170.31,34.36,95,100,15.32,RU,1593555303
C,-24.53,32.98,64.69,84,50,6.2,MZ,1593555303
L,-26.65,15.16,68.0,20,0,8.05,NA,1593555303
K,31.61,34.76,73.0,82,0,2.1,IL,1593555303
M,-5.37,-49.12,82.4,69,57,2.24,BR,1593555304
P,66.15,-65.71,37.4,93,75,9.17,CA,1593555304
Y,40.43,71.72,77.0,31,75,4.7,UZ,1593555171
S,50.68,36.55,68.0,94,75,4.47,RU,1593555304
P,32.67,-17.1,69.8,73,40,13.87,PT,1593555144
A,47.97,80.44,58.35,50,35,3.27,KZ,1593555305
N,59.7,30.79,59.0,77,40,13.42,RU,1593555160
D,48.0,37.8,72.28,69,3,5.79,UA,1593555305
B,-8.14,159.59,81.88,73,18,4.18,SB,1593555305
J,35.39,116.09,71.4,85,40,4.0,CN,1593555305
R,4.95,23.92,69.4,98,71,2.44,CF,1593555305
A,-13.2,49.05,66.6,83,0,2.64,MG,1593555306
J,-5.89,-38.62,80.6,55,22,2.93,BR,1593555306
P,17.52,-101.27,91.4,63,40,11.41,MX,1593555306
B,-12.58,13.41,67.75,85,17,1.36,AO,1593555306
B,55.13,-1.51,57.0,82,95,10.29,GB,1593555306
T,-17.53,-149.33,80.6,61,20,10.29,PF,1593555306
N,-38.55,-58.74,48.0,85,100,8.01,AR,1593555176
S,51.86,33.47,59.07,96,3,4.56,UA,1593555307
V,60.34,102.28,62.11,91,48,5.3,RU,1593555308
V,-28.09,27.14,44.1,63,0,9.57,ZA,1593555309
M,8.2,-59.78,78.44,87,10,5.17,GY,1593555309
P,-7.71,-66.98,82.29,62,23,0.16,BR,1593555309
R,53.11,-3.32,59.0,93,69,1.01,GB,1593555309
S,36.98,38.42,77.0,33,0,19.46,TR,1593555309
P,-3.98,-38.73,80.6,74,20,5.82,BR,1593555309
U,57.69,71.17,53.37,97,100,7.85,RU,1593555310
J,30.57,79.57,64.83,56,51,0.51,IN,1593555206
N,65.28,-126.83,71.6,56,75,19.46,CA,1593555169
K,68.31,-53.46,41.05,86,97,14.81,GL,1593555310
P,64.38,-173.3,44.6,87,90,13.42,RU,1593555151
P,42.9,133.91,60.53,71,100,8.52,RU,1593555310
H,31.86,117.28,77.0,100,40,6.71,CN,1593555310
M,21.35,-158.09,87.8,58,90,5.82,US,1593555310
J,5.21,-4.41,78.8,88,40,4.7,CI,1593555310
N,51.03,-4.22,57.99,96,88,4.0,GB,1593555311
M,43.15,-77.68,75.99,57,75,10.29,US,1593555143
A,50.57,123.72,65.05,63,6,3.24,CN,1593555311
Ü,43.8,87.6,59.0,67,0,4.47,CN,1593555311
Z,32.47,14.57,70.75,86,0,0.87,LY,1593555311
V,-35.57,138.62,52.0,57,0,1.01,AU,1593555181
G,37.01,-121.57,90.0,28,1,21.92,US,1593555022
C,36.83,-119.7,93.99,21,20,9.17,US,1593555312
S,-21.37,55.62,66.2,55,0,8.05,RE,1593555155
T,-27.55,151.97,52.0,100,90,5.82,AU,1593555312
A,-41.87,-73.82,50.0,100,90,11.41,CL,1593555312
S,-10.62,150.67,78.58,85,54,17.16,PG,1593555312
N,53.14,140.73,56.07,76,100,3.36,RU,1593555312
C,-35.33,-72.42,53.28,79,100,1.81,CL,1593555313
C,70.47,-68.59,35.6,93,75,10.29,CA,1593555313
B,-41.07,145.92,52.0,90,21,1.99,AU,1593555313
H,22.29,114.16,84.0,79,100,3.0,HK,1593555192
T,-21.55,167.88,69.49,63,1,14.47,NC,1593555150
C,-43.53,172.63,41.0,80,90,21.92,NZ,1593555313
T,29.58,-9.5,75.09,54,0,1.83,MA,1593555313
G,-28.77,114.6,57.2,93,75,6.93,AU,1593555196
T,55.17,124.72,68.27,59,29,2.28,RU,1593555214
A,42.0,8.92,69.8,83,0,5.82,FR,1593555314
A,-35.17,173.17,55.85,72,20,10.45,NZ,1593555314
P,42.33,13.95,73.4,78,0,6.93,IT,1593555314
M,47.65,53.35,67.75,42,0,6.55,KZ,1593555314
S,-4.67,-73.52,79.59,93,99,0.85,PE,1593555315
L,46.62,10.7,62.6,88,40,5.82,IT,1593555315
K,54.34,101.5,63.48,70,0,3.13,RU,1593555315
I,67.68,53.15,54.14,70,100,12.75,RU,1593555315
C,70.63,147.92,52.95,40,34,9.64,RU,1593555155
M,-37.83,140.77,44.6,81,0,11.41,AU,1593555315
T,65.09,12.37,48.2,66,75,19.46,NO,1593555316
P,42.16,-72.33,71.01,88,75,6.93,US,1593555316
R,56.8,59.93,41.0,100,97,2.35,RU,1593555316
T,20.0,-3.0,92.91,29,0,10.78,ML,1593555316
S,51.23,-58.65,72.48,62,52,16.13,CA,1593555316
H,66.04,-17.34,50.0,71,0,8.05,IS,1593555316
T,58.52,64.55,42.46,92,56,4.12,RU,1593555316
S,45.02,-93.22,89.6,55,20,12.75,US,1593555187
K,21.4,-157.74,87.8,62,40,13.87,US,1593555316
S,52.23,20.24,61.0,10,0,7.76,PL,1593555316
L,-5.61,-78.44,80.71,53,14,3.49,PE,1593555317
M,-32.89,-68.83,48.2,55,79,3.36,AR,1593555185
V,46.49,135.88,60.03,90,0,1.41,RU,1593555317
K,-7.38,108.21,71.44,93,87,1.72,ID,1593555317
D,11.0,122.67,77.04,82,74,2.28,PH,1593555318
K,-7.6,37.0,67.66,81,97,1.25,TZ,1593555318
M,0.6,-80.03,76.32,86,82,12.66,EC,1593555318
