City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
A,-13.85,136.42,62.6,100,3,9.35,AU,1593555342
D,20.85,-88.52,95.2,44,2,8.08,MX,1593555342
V,-22.67,167.48,68.31,64,0,15.61,NC,1593555161
M,35.84,14.54,75.0,83,0,2.24,MT,1593555342
N,60.92,34.06,54.12,94,100,8.55,RU,1593555343
A,27.18,31.18,82.4,28,0,4.7,EG,1593555343
T,4.88,-1.76,75.45,84,11,8.23,GH,1593555343
C,-38.7,-73.17,51.8,87,90,13.87,CL,1593555343
V,10.35,107.08,79.77,83,100,9.44,VN,1593555046
O,51.38,20.28,57.0,81,0,7.52,PL,1593555343
S,-14.27,50.17,67.39,83,1,7.74,MG,1593555343
C,18.73,-103.68,84.2,70,40,11.41,MX,1593555343
S,39.01,-77.43,89.6,35,20,4.7,US,1593555270
S,66.94,-53.67,53.92,52,99,16.75,GL,1593555173
B,-0.22,20.87,72.27,93,100,2.39,CD,1593555343
M,31.63,-8.01,89.6,35,0,6.93,MA,1593555222
S,54.78,-127.17,62.6,55,75,11.41,CA,1593555344
O,68.05,39.51,55.42,58,100,14.9,RU,1593555188
L,-14.92,13.49,55.78,40,4,4.79,AO,1593555344
D,22.24,68.97,84.52,76,57,4.38,IN,1593555344
B,-33.73,-70.75,53.6,66,100,0.34,CL,1593555344
A,-3.9,-38.39,80.6,74,20,5.82,BR,1593555344
S,36.21,-5.38,73.4,83,0,2.24,ES,1593555344
P,19.8,85.85,84.99,82,47,16.08,IN,1593555188
C,29.94,-89.96,95.0,52,1,6.93,US,1593555200
K,42.8,93.45,68.77,36,0,8.12,CN,1593555345
K,65.7,82.47,54.03,85,69,18.95,RU,1593555345
C,14.3,-91.92,84.2,79,75,6.93,GT,1593555345
G,54.14,38.16,61.5,94,74,13.24,RU,1593555345
R,47.67,-122.12,64.99,64,96,5.01,US,1593555140
C,20.87,-90.4,88.84,59,0,16.91,MX,1593555163
V,42.03,-8.16,69.8,73,20,8.05,PT,1593555345
M,-7.3,-35.48,75.2,78,40,6.93,BR,1593555345
M,2.04,45.34,78.55,79,79,18.23,SO,1593555345
P,6.19,-67.49,78.8,88,75,10.29,CO,1593555345
U,58.0,102.66,65.39,86,1,4.0,RU,1593555345
B,40.67,31.58,60.64,67,0,1.95,TR,1593555345
P,44.87,13.85,71.6,73,0,3.36,HR,1593555346
H,4.38,-7.72,76.28,80,100,8.12,LR,1593555346
R,36.72,-4.28,73.99,88,20,8.05,ES,1593555346
N,-22.28,166.46,69.01,72,75,3.36,NC,1593555346
L,-8.84,13.23,71.6,88,75,3.36,AO,1593555256
B,42.25,-75.83,71.01,77,90,9.17,US,1593555346
C,-32.58,151.78,48.99,100,20,5.82,AU,1593555346
M,-21.15,149.2,64.4,88,75,10.29,AU,1593555346
M,38.89,-76.51,87.01,58,1,6.93,US,1593555299
B,-20.02,148.23,66.0,88,3,10.29,AU,1593555346
D,29.85,80.53,67.71,75,52,0.74,IN,1593555346
A,35.47,-6.03,71.6,88,40,3.36,MA,1593555347
N,43.32,145.57,55.69,99,100,7.65,JP,1593555347
W,28.0,120.67,78.98,82,99,1.5,CN,1593555347
T,-5.2,-35.46,77.0,83,20,6.93,BR,1593555152
B,68.05,166.44,45.36,65,100,8.3,RU,1593555347
L,-32.45,-71.23,57.2,76,80,4.7,CL,1593555347
K,20.89,-156.47,91.4,41,20,14.99,US,1593555329
G,55.87,-4.26,54.0,93,79,5.82,GB,1593555169
S,19.22,-104.7,89.6,66,20,17.22,MX,1593555348
K,-4.35,152.26,78.8,82,44,5.84,PG,1593555348
B,48.65,-53.11,60.33,95,94,14.83,CA,1593555348
S,-13.88,167.55,78.8,78,90,11.41,VU,1593555172
A,55.46,-4.63,55.4,93,40,2.24,GB,1593555348
K,-8.28,113.37,73.38,90,43,2.17,ID,1593555348
K,8.85,7.87,78.8,94,75,3.36,NG,1593555348
B,41.29,123.77,68.0,100,94,2.24,CN,1593555349
S,52.92,87.99,53.06,91,89,3.11,RU,1593555349
W,1.75,40.06,76.39,68,8,18.75,KE,1593555349
S,1.65,14.58,68.63,95,72,1.32,CG,1593555349
R,-31.25,-61.49,54.0,52,26,11.99,AR,1593555349
A,19.42,80.07,79.7,84,90,3.53,IN,1593555349
R,-34.48,-54.33,55.67,96,100,15.48,UY,1593555349
W,28.37,121.36,77.0,97,90,5.91,CN,1593555349
N,-15.12,39.27,66.2,88,40,16.11,MZ,1593555349
K,37.35,59.61,74.44,22,0,2.55,TM,1593555155
K,62.23,-6.59,46.4,81,95,5.82,FO,1593555350
T,54.67,20.13,60.8,87,40,6.71,RU,1593555350
N,4.52,12.03,68.02,97,82,2.35,CM,1593555350
C,55.6,43.76,49.62,83,100,7.92,RU,1593555350
Z,47.8,67.71,69.98,59,66,15.41,KZ,1593555350
Ţ,26.77,31.5,84.2,26,0,9.17,EG,1593555350
T,20.2,1.01,92.97,11,0,7.29,ML,1593555350
B,0.13,117.5,75.24,91,11,4.68,ID,1593555350
S,40.16,38.09,57.43,79,28,4.23,TR,1593555350
A,41.12,80.26,70.54,24,27,4.05,CN,1593555350
S,62.08,150.48,54.21,45,69,7.34,RU,1593555350
K,7.42,81.82,80.65,74,88,10.58,LK,1593555350
R,-29.04,24.6,42.8,60,0,5.82,ZA,1593555351
T,-16.78,-151.5,78.57,73,1,25.26,PF,1593555208
N,64.5,-165.41,51.01,81,75,17.22,US,1593555351
R,9.97,98.63,80.55,81,100,5.28,TH,1593555351
P,45.17,10.78,78.01,78,8,4.0,IT,1593555351
L,35.6,103.21,60.64,67,100,0.81,CN,1593555351
A,33.19,-82.53,95.0,39,1,10.29,US,1593555351
M,34.13,-84.3,75.2,94,1,7.36,US,1593555351
G,-20.18,25.23,56.93,49,0,10.92,BW,1593555351
T,21.67,-103.33,81.36,41,75,4.05,MX,1593555352
B,43.58,127.57,61.75,86,22,2.42,CN,1593555352
U,43.1,-75.23,75.0,65,39,1.99,US,1593555227
L,25.11,117.02,76.24,88,100,1.79,CN,1593555352
H,50.23,-63.6,71.6,68,1,9.17,CA,1593555191
K,-32.25,115.77,59.0,87,40,4.7,AU,1593555352
K,-2.57,150.8,82.62,76,33,10.25,PG,1593555168
T,52.79,89.9,53.35,87,100,1.61,RU,1593555353
A,7.13,-3.2,71.67,97,97,4.14,CI,1593555353
B,0.5,29.47,62.42,97,13,1.7,CD,1593555353
‘,21.32,-158.01,87.8,58,90,5.82,US,1593555353
H,26.89,112.61,77.88,93,100,2.73,CN,1593555353
Z,66.77,123.37,72.68,47,31,6.82,RU,1593555353
D,49.93,116.87,62.8,77,100,3.0,RU,1593555353
P,37.61,-122.49,78.01,44,20,20.8,US,1593555353
G,8.41,48.48,83.43,52,99,29.64,SO,1593555353
S,-9.66,20.39,63.09,39,100,4.81,AO,1593555353
M,51.26,-80.61,89.6,43,1,9.17,CA,1593555354
M,-8.43,114.33,75.94,87,67,4.07,ID,1593555354
N,9.44,-78.59,80.98,84,100,6.26,PA,1593555354
J,29.03,21.55,80.4,38,0,16.53,LY,1593555207
B,9.49,50.81,81.37,68,100,34.76,SO,1593555354
M,-21.61,-55.17,74.88,69,87,9.8,BR,1593555354
Z,38.93,100.45,63.75,50,0,4.85,CN,1593555354
C,54.72,135.31,45.39,96,99,2.91,RU,1593555354
D,22.8,114.47,86.0,100,99,2.71,CN,1593555354
P,41.29,-73.92,75.0,81,76,2.19,US,1593555196
